iter	Passed	Remaining
0	0	90
1	1	72
2	2	67
3	2	61
4	3	59
5	3	57
6	4	55
7	4	55
8	5	54
9	5	53
10	6	52
11	7	52
12	7	51
13	8	50
14	8	49
15	9	49
16	10	49
17	10	49
18	11	48
19	11	47
20	12	46
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	40
32	19	39
33	19	38
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	39	19
67	39	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	48	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	57	1
97	57	1
98	58	0
99	58	0
