iter	Passed	Remaining
0	149	149320
1	150	74962
2	150	50143
3	151	37720
4	152	30262
5	152	25289
6	153	21736
7	153	19071
8	154	16994
9	154	15334
10	155	13979
11	156	12845
12	156	11894
13	157	11080
14	157	10367
15	158	9745
16	159	9197
17	159	8706
18	160	8270
19	160	7874
20	161	7520
21	162	7223
22	163	6928
23	163	6655
24	164	6403
25	164	6169
26	165	5954
27	165	5754
28	166	5566
29	166	5394
30	167	5232
31	168	5083
32	168	4942
33	169	4812
34	170	4687
35	170	4573
36	171	4462
37	172	4355
38	172	4254
39	173	4158
40	173	4065
41	174	3979
42	175	3900
43	176	3827
44	176	3752
45	177	3681
46	178	3610
47	178	3543
48	179	3479
49	179	3417
50	180	3358
51	181	3300
52	181	3245
53	182	3193
54	182	3141
55	183	3093
56	184	3045
57	184	2999
58	185	2954
59	185	2912
60	186	2872
61	187	2832
62	187	2795
63	188	2759
64	189	2727
65	190	2692
66	190	2657
67	191	2624
68	192	2591
69	192	2559
70	193	2528
71	193	2498
72	194	2470
73	195	2443
74	195	2416
75	196	2389
76	197	2363
77	197	2338
78	198	2315
79	199	2291
80	199	2267
81	200	2244
82	200	2218
83	201	2197
84	202	2176
85	202	2155
86	203	2134
87	204	2114
88	204	2094
89	205	2074
90	205	2055
91	206	2036
92	207	2019
93	207	2002
94	208	1985
95	209	1968
96	209	1951
97	210	1934
98	210	1918
99	211	1902
100	211	1886
101	212	1871
102	213	1856
103	213	1842
104	214	1827
105	214	1813
106	215	1799
107	216	1785
108	216	1772
109	217	1758
110	217	1745
111	218	1732
112	219	1719
113	219	1708
114	220	1697
115	221	1686
116	221	1674
117	222	1664
118	223	1653
119	223	1641
120	224	1630
121	224	1618
122	225	1610
123	226	1601
124	227	1591
125	228	1582
126	228	1572
127	229	1562
128	230	1553
129	230	1543
130	231	1533
131	232	1528
132	233	1521
133	234	1513
134	234	1504
135	235	1495
136	236	1487
137	236	1478
138	237	1470
139	238	1463
140	239	1456
141	239	1447
142	240	1439
143	240	1432
144	241	1423
145	242	1416
146	242	1408
147	243	1400
148	243	1392
149	244	1386
150	245	1379
151	245	1372
152	246	1364
153	247	1358
154	247	1351
155	248	1344
156	249	1337
157	249	1329
158	250	1322
159	250	1316
160	251	1308
161	251	1302
162	252	1295
163	252	1289
164	253	1282
165	254	1276
166	254	1270
167	255	1264
168	255	1258
169	256	1252
170	257	1246
171	257	1241
172	258	1235
173	259	1230
174	259	1224
175	260	1218
176	260	1213
177	261	1207
178	262	1202
179	262	1197
180	263	1193
181	265	1191
182	266	1187
183	266	1182
184	267	1177
185	267	1172
186	268	1167
187	269	1162
188	269	1157
189	270	1153
190	271	1149
191	272	1145
192	272	1141
193	273	1136
194	274	1131
195	274	1126
196	275	1122
197	276	1118
198	276	1114
199	277	1109
200	278	1105
201	278	1101
202	279	1097
203	280	1093
204	280	1089
205	281	1084
206	282	1080
207	282	1077
208	283	1073
209	284	1069
210	284	1065
211	285	1060
212	286	1057
213	286	1053
214	287	1049
215	287	1045
216	288	1041
217	289	1037
218	290	1034
219	290	1030
220	291	1026
221	291	1022
222	292	1018
223	292	1014
224	293	1011
225	294	1007
226	294	1004
227	295	1000
228	296	997
229	296	993
230	297	990
231	298	987
232	298	983
233	299	979
234	299	976
235	300	973
236	301	970
237	301	966
238	302	963
239	303	959
240	303	956
241	304	953
242	304	949
243	305	946
244	305	942
245	306	939
246	306	935
247	307	932
248	308	929
249	308	926
250	309	923
251	310	920
252	310	917
253	311	914
254	311	911
255	312	908
256	313	905
257	313	902
258	314	899
259	315	896
260	315	893
261	316	891
262	316	887
263	317	884
264	317	881
265	318	878
266	319	875
267	319	872
268	320	870
269	320	867
270	321	864
271	322	862
272	322	859
273	323	856
274	323	854
275	324	851
276	325	848
277	325	845
278	326	843
279	327	840
280	327	838
281	328	835
282	328	832
283	329	830
284	329	827
285	330	824
286	330	822
287	331	819
288	331	816
289	332	814
290	333	811
291	333	809
292	334	806
293	335	804
294	335	802
295	336	799
296	336	797
297	337	794
298	337	792
299	338	789
300	338	787
301	339	784
302	340	782
303	340	780
304	341	777
305	341	775
306	342	773
307	343	770
308	343	768
309	344	766
310	344	763
311	345	761
312	345	759
313	346	757
314	347	755
315	347	752
316	348	750
317	349	748
318	349	746
319	350	744
320	350	741
321	351	739
322	352	737
323	352	735
324	353	733
325	354	731
326	354	729
327	355	727
328	355	725
329	356	723
330	356	721
331	357	719
332	358	717
333	358	715
334	359	713
335	360	711
336	360	709
337	361	707
338	361	705
339	362	703
340	363	701
341	363	699
342	364	697
343	364	695
344	365	694
345	366	692
346	366	690
347	367	688
348	367	686
349	368	684
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	372	673
356	372	671
357	373	669
358	373	667
359	374	665
360	375	663
361	375	661
362	376	660
363	376	658
364	377	656
365	377	654
366	378	652
367	378	650
368	379	649
369	380	647
370	380	645
371	381	643
372	381	641
373	382	639
374	382	638
375	383	636
376	383	634
377	384	632
378	385	631
379	385	629
380	386	627
381	386	625
382	387	624
383	388	622
384	388	620
385	389	619
386	389	617
387	390	615
388	391	614
389	391	612
390	392	611
391	392	609
392	393	607
393	393	605
394	394	604
395	395	602
396	395	600
397	396	599
398	396	597
399	397	596
400	398	594
401	398	593
402	399	591
403	399	589
404	400	588
405	400	586
406	401	584
407	402	583
408	402	582
409	403	580
410	403	578
411	404	577
412	405	575
413	405	574
414	406	572
415	406	571
416	407	569
417	407	568
418	408	566
419	409	565
420	409	563
421	410	562
422	410	560
423	411	558
424	412	557
425	412	555
426	413	554
427	413	552
428	414	551
429	414	549
430	415	548
431	416	547
432	416	545
433	417	544
434	418	543
435	418	541
436	419	540
437	419	538
438	420	537
439	420	535
440	421	534
441	422	533
442	423	531
443	423	530
444	424	529
445	424	527
446	425	526
447	425	524
448	426	523
449	426	521
450	427	520
451	428	518
452	428	517
453	429	516
454	429	514
455	430	513
456	430	512
457	431	510
458	432	509
459	432	507
460	433	506
461	433	504
462	434	503
463	434	502
464	435	500
465	435	499
466	436	498
467	437	496
468	437	495
469	438	494
470	438	492
471	439	491
472	439	490
473	440	489
474	441	488
475	442	486
476	442	485
477	443	484
478	443	482
479	444	481
480	444	480
481	445	478
482	446	477
483	446	476
484	447	475
485	448	473
486	448	472
487	449	471
488	449	469
489	450	468
490	450	467
491	451	466
492	451	464
493	452	463
494	453	462
495	454	461
496	454	460
497	455	458
498	455	457
499	456	456
500	456	454
501	457	453
502	457	452
503	458	451
504	458	449
505	459	448
506	460	447
507	460	446
508	461	445
509	462	444
510	462	442
511	463	441
512	464	440
513	464	439
514	465	438
515	465	436
516	466	435
517	467	434
518	467	433
519	468	432
520	468	430
521	469	429
522	469	428
523	470	427
524	470	426
525	471	425
526	472	424
527	473	423
528	473	422
529	474	420
530	475	419
531	475	418
532	476	417
533	476	416
534	477	414
535	478	413
536	478	412
537	479	411
538	479	410
539	480	409
540	481	408
541	481	407
542	482	405
543	483	404
544	483	403
545	484	402
546	485	401
547	485	400
548	486	399
549	486	398
550	487	397
551	488	396
552	488	395
553	489	394
554	490	392
555	490	391
556	491	390
557	492	389
558	492	388
559	493	387
560	493	386
561	494	385
562	495	384
563	495	383
564	496	382
565	496	381
566	497	380
567	498	379
568	499	378
569	499	377
570	500	376
571	501	375
572	501	373
573	502	372
574	502	371
575	503	370
576	504	369
577	504	368
578	505	367
579	506	366
580	506	365
581	507	364
582	508	363
583	508	362
584	509	361
585	510	360
586	511	359
587	511	358
588	512	357
589	513	356
590	513	355
591	514	354
592	514	353
593	515	352
594	516	351
595	517	350
596	517	349
597	518	348
598	519	347
599	519	346
600	520	345
601	521	344
602	521	343
603	522	342
604	523	341
605	524	340
606	524	339
607	525	338
608	526	337
609	526	336
610	527	335
611	527	334
612	528	333
613	529	332
614	529	331
615	530	330
616	530	329
617	531	328
618	532	327
619	532	326
620	533	325
621	533	324
622	534	323
623	535	322
624	535	321
625	536	320
626	537	319
627	537	318
628	538	317
629	539	316
630	539	315
631	540	314
632	541	313
633	541	312
634	542	311
635	542	310
636	543	309
637	544	308
638	544	307
639	545	306
640	546	305
641	546	304
642	547	303
643	548	303
644	549	302
645	549	301
646	550	300
647	551	299
648	551	298
649	552	297
650	552	296
651	553	295
652	554	294
653	554	293
654	555	292
655	556	291
656	556	290
657	557	289
658	558	288
659	559	288
660	559	287
661	560	286
662	561	285
663	561	284
664	562	283
665	562	282
666	563	281
667	564	280
668	564	279
669	565	278
670	565	277
671	566	276
672	567	275
673	567	274
674	568	273
675	568	272
676	569	271
677	570	270
678	570	269
679	571	268
680	571	267
681	572	266
682	573	265
683	573	265
684	574	264
685	575	263
686	575	262
687	576	261
688	576	260
689	577	259
690	577	258
691	578	257
692	579	256
693	579	255
694	580	254
695	581	253
696	581	252
697	582	252
698	583	251
699	583	250
700	584	249
701	584	248
702	585	247
703	586	246
704	586	245
705	587	244
706	588	243
707	588	242
708	589	241
709	590	241
710	590	240
711	591	239
712	591	238
713	592	237
714	593	236
715	593	235
716	594	234
717	595	233
718	595	232
719	596	231
720	596	231
721	597	230
722	598	229
723	599	228
724	600	227
725	600	226
726	601	225
727	602	224
728	602	224
729	603	223
730	603	222
731	604	221
732	605	220
733	606	219
734	606	218
735	607	217
736	607	216
737	608	216
738	609	215
739	609	214
740	610	213
741	610	212
742	611	211
743	612	210
744	612	209
745	613	208
746	613	207
747	614	207
748	615	206
749	615	205
750	616	204
751	617	203
752	617	202
753	618	201
754	618	200
755	619	199
756	619	198
757	620	198
758	621	197
759	621	196
760	622	195
761	622	194
762	623	193
763	624	192
764	624	191
765	625	190
766	625	190
767	626	189
768	626	188
769	627	187
770	628	186
771	628	185
772	629	184
773	630	183
774	630	183
775	631	182
776	632	181
777	632	180
778	633	179
779	633	178
780	634	177
781	635	177
782	635	176
783	636	175
784	636	174
785	637	173
786	638	172
787	638	171
788	639	171
789	639	170
790	640	169
791	641	168
792	641	167
793	642	166
794	643	165
795	643	165
796	644	164
797	645	163
798	645	162
799	646	161
800	646	160
801	647	159
802	648	158
803	648	158
804	649	157
805	649	156
806	650	155
807	651	154
808	651	153
809	652	152
810	652	152
811	653	151
812	653	150
813	654	149
814	654	148
815	655	147
816	656	146
817	656	146
818	657	145
819	657	144
820	658	143
821	658	142
822	659	141
823	660	140
824	660	140
825	661	139
826	662	138
827	662	137
828	663	136
829	663	135
830	664	135
831	664	134
832	665	133
833	665	132
834	666	131
835	667	130
836	667	130
837	668	129
838	668	128
839	669	127
840	670	126
841	670	125
842	671	125
843	671	124
844	672	123
845	672	122
846	673	121
847	674	120
848	674	119
849	675	119
850	675	118
851	676	117
852	676	116
853	677	115
854	678	114
855	678	114
856	679	113
857	679	112
858	680	111
859	681	110
860	681	110
861	682	109
862	682	108
863	683	107
864	683	106
865	684	105
866	684	105
867	685	104
868	686	103
869	687	102
870	687	101
871	688	101
